vendor,rule_id,rule_name,seq,enabled,action,ip_version,src_zone,dst_zone,src_iface,dst_iface,src_addr,src_addr_negated,src_port,src_port_negated,dst_addr,dst_addr_negated,dst_port,dst_port_negated,protocol,service,schedule,log,nat_related,app_id,user_id,icmp_type,notes
fortigate,6,Admin team to Staging servers,1,True,allow,4,any,VPN,any,VPN,191.247.126.126/32,False,any,False,any,False,25,N/A,TCP,SMTP,always,True,False,P2P,infosec.officer,N/A,Allow for SSL inspection bypass
fortigate,41,Admin team access to VPN Gateway,2,False,allow,4,LAN,VPN,LAN,VPN,"192.168.145.175-192.168.145.183,192.168.224.0/19",False,any,False,192.168.23.136-192.168.23.150,False,53,N/A,TCP/UDP,DNS,always,True,False,any,any,N/A,Emergency access — Dec 16
fortigate,72,Deny Guest netork from Test network,3,True,allow,4,LAN,MGMT,LAN,MGMT,any,False,any,False,192.168.100.192/27,False,3389,N/A,TCP,RDP,always,True,False,Business,"security.analyst,support.user",N/A,
fortigate,97,Deny VPN users from MGMT,4,True,allow,6,any,MGMT,any,MGMT,any,False,any,False,fd82:7b21:c59a:99:99e9:f71:1a7e:ccc2/128,False,any,N/A,any,any,always,False,False,any,any,N/A,
fortigate,128,DMZ connection to CCTV system,5,False,allow,6,DMZ,MGMT,DMZ,MGMT,fd82:7b21:c59a:10:fb94:4aad:2f7c:3ffc/128,True,any,False,fd82:7b21:c59a:99:a030:1223:d830:aab3/128,False,any,N/A,any,any,always,False,False,Video/Audio,"ops.engineer,network.admin",N/A,
fortigate,133,VPN to Firewall,6,True,deny,4,VPN,DMZ,VPN,DMZ,192.168.23.176/28,False,any,False,172.16.10.116/32,False,6379,N/A,TCP,Redis,always,False,False,any,any,N/A,
fortigate,154,MGMT connection to printer network,7,True,deny,4,MGMT,VPN,MGMT,VPN,192.168.100.193/32,False,any,False,192.168.23.54/32,False,161,N/A,UDP,SNMP,always,False,False,Social-Media,"web.admin,test.user",N/A,Temporary access for audit
fortigate,162,Mail server access to Portal,8,False,deny,4,MGMT,any,MGMT,any,192.168.100.32/28,True,any,False,any,False,5432,N/A,TCP,PostgreSQL,always,True,False,any,any,N/A,DO NOT DELETE — critical
fortigate,166,MGMT access from WAN,9,False,allow,4,WAN,MGMT,WAN,MGMT,any,False,any,False,192.168.100.133/32,True,25,N/A,TCP,SMTP,always,False,False,any,network.admin,N/A,
fortigate,192,Drop DMZ to MGMT,10,True,deny,4,DMZ,MGMT,DMZ,MGMT,172.16.10.12/32,False,any,False,any,False,443,N/A,TCP,HTTPS,always,True,False,any,any,N/A,
fortigate,218,Allow Clients connect to cloud serv,11,False,deny,6,LAN,VPN,LAN,VPN,fd82:7b21:c59a:1::/64,False,any,False,fd82:7b21:c59a:23::/64,False,443,N/A,TCP,HTTPS,always,True,False,Proxy,any,N/A,DO NOT DELETE — critical
fortigate,245,VPN users to ERP system,12,True,allow,4,WAN,MGMT,WAN,MGMT,any,False,any,False,192.168.100.112/28,False,8443,N/A,TCP,HTTPS-ALT,always,False,False,any,any,N/A,
fortigate,271,Publish DMZ in Ineternet,13,True,deny,4,MGMT,DMZ,MGMT,DMZ,192.168.100.128/25,True,any,False,172.16.10.128/32,True,any,N/A,ICMP,ICMP-PING,always,True,False,any,"backup.user,network.admin,user1",N/A,Allow for SSL inspection bypass
fortigate,295,Admin team access to LAN,14,True,allow,both,MGMT,LAN,MGMT,LAN,any,False,any,False,"192.168.128.0/18,fd82:7b21:c59a:1:4de1:a123:37ed:aec4/128",True,8080,N/A,TCP,HTTP-ALT,always,True,False,any,any,N/A,
fortigate,330,Restrict DMZ access to VPN,15,True,deny,4,DMZ,VPN,DMZ,VPN,172.16.10.38/32,False,any,False,any,False,587,N/A,TCP,SMTP-TLS,always,False,False,any,any,N/A,Allow for SSL inspection bypass
fortigate,360,LAN reach MGMT,16,True,allow,4,VPN,MGMT,VPN,MGMT,any,False,any,False,192.168.100.207/32,False,445,N/A,TCP,SMB,always,False,False,any,any,N/A,
fortigate,363,IoT devices access to internal netw,17,True,allow,4,MGMT,WAN,MGMT,WAN,any,False,any,False,157.150.155.75/32,False,1024-65535,N/A,TCP/UDP,HIGH-PORTS,always,False,False,any,"backup.user,network.admin,user1",N/A,Monitoring hook
fortigate,383,MGMT outbound to DMZ,18,True,allow,4,MGMT,DMZ,MGMT,DMZ,192.168.100.48/28,False,any,False,any,False,587,N/A,TCP,SMTP-TLS,always,True,False,Video/Audio,any,N/A,
fortigate,390,Admin team inbound from Portal,19,True,allow,4,DMZ,WAN,DMZ,WAN,172.16.10.57/32,False,any,False,"any,160.226.32.45/32",False,22,N/A,TCP,SSH,always,False,False,any,backup.user,N/A,Review in Q2 2024
fortigate,429,Inspect Web servers traffic to Mail,20,True,allow,4,LAN,WAN,LAN,WAN,192.168.187.207/32,False,any,False,5.75.62.11/32,False,993,N/A,TCP,IMAP-SSL,always,True,False,any,"john.doe,manager,noc.operator",N/A,Legacy — check before removing
fortigate,460,Internal users to Internet,21,True,allow,4,VPN,LAN,VPN,LAN,192.168.23.80/28,False,any,False,"any,192.168.117.249/32",False,389,N/A,TCP,LDAP,always,True,False,any,any,N/A,
fortigate,461,IoT devices to LAN,22,True,allow,4,DMZ,LAN,DMZ,LAN,"172.16.10.240/28,172.16.10.128/25",False,any,False,"192.168.48.0/20,192.168.174.0/23",False,443,N/A,TCP,HTTPS,always,False,False,Proxy,any,N/A,
fortigate,498,Guest network outbound to VPN,23,True,deny,4,MGMT,VPN,MGMT,VPN,192.168.100.160/28,False,any,False,192.168.23.169-192.168.23.175,False,1521,N/A,TCP,Oracle,always,False,False,any,any,N/A,Requested by HR
fortigate,520,MGMT outbound to any,24,False,allow,4,MGMT,any,MGMT,any,"192.168.100.208/28,192.168.100.146-192.168.100.150",False,any,False,188.25.236.108/32,False,any,N/A,ICMP,ICMP-PING,always,True,False,any,any,N/A,
fortigate,547,WAN reach PLC network,25,True,allow,4,WAN,DMZ,WAN,DMZ,any,False,any,False,172.16.10.184/32,False,389,N/A,TCP,LDAP,always,False,False,P2P,any,N/A,
