vendor,rule_id,rule_name,seq,enabled,action,ip_version,src_zone,dst_zone,src_iface,dst_iface,src_addr,src_addr_negated,src_port,src_port_negated,dst_addr,dst_addr_negated,dst_port,dst_port_negated,protocol,service,schedule,log,nat_related,app_id,user_id,icmp_type,notes
ipimen,1,Admin team to Staging servers,1,True,allow,4,any,VPN,any,VPN,"191.247.126.126/32,any",False,any,False,any,False,25,False,tcp,SMTP,always,True,False,P2P,infosec.officer,N/A,Allow for SSL inspection bypass
ipimen,2,Admin team access to VPN Gateway,2,False,allow,4,LAN,VPN,LAN,VPN,"192.168.145.175-192.168.145.183,192.168.224.0/19",False,any,False,192.168.23.136-192.168.23.150,False,53,False,TCP/UDP,DNS,always,True,False,any,any,N/A,Emergency access — Dec 16
ipimen,3,Deny Guest netork from Test network,3,True,allow,4,LAN,MGMT,LAN,MGMT,any,False,any,False,192.168.100.192/27,False,3389,False,tcp,RDP,always,True,False,Business,"security.analyst,support.user",N/A,
ipimen,4,Deny VPN users from MGMT,4,True,allow,6,any,MGMT,any,MGMT,any,False,any,False,fd82:7b21:c59a:99:99e9:f71:1a7e:ccc2/32,False,any,False,any,any,always,False,False,any,any,N/A,
ipimen,5,DMZ connection to CCTV system,5,False,allow,6,DMZ,MGMT,DMZ,MGMT,"fd82:7b21:c59a:10:fb94:4aad:2f7c:3ffc/32,any",True,any,False,fd82:7b21:c59a:99:a030:1223:d830:aab3/32,False,any,False,any,any,always,False,False,Video/Audio,"ops.engineer,network.admin",N/A,
ipimen,6,VPN to Firewall,6,True,deny,4,VPN,DMZ,VPN,DMZ,192.168.23.176/28,False,any,False,172.16.10.116/32,False,6379,False,tcp,Redis,always,False,False,any,any,N/A,
ipimen,7,MGMT connection to printer network,7,True,deny,4,MGMT,VPN,MGMT,VPN,"192.168.100.193/32,any",False,any,False,192.168.23.54/32,False,161,False,udp,SNMP,always,False,False,Social-Media,"web.admin,test.user",N/A,Temporary access for audit
ipimen,8,Mail server access to Portal,8,False,deny,4,MGMT,any,MGMT,any,192.168.100.32/28,True,any,False,any,False,5432,False,tcp,PostgreSQL,always,True,False,any,any,N/A,DO NOT DELETE — critical
ipimen,9,MGMT access from WAN,9,False,allow,4,WAN,MGMT,WAN,MGMT,any,False,any,False,192.168.100.133/32,True,25,False,tcp,SMTP,always,False,False,any,network.admin,N/A,
ipimen,10,Drop DMZ to MGMT,10,True,deny,4,DMZ,MGMT,DMZ,MGMT,172.16.10.12/32,False,any,False,any,False,443,False,tcp,HTTPS,always,True,False,any,any,N/A,
ipimen,11,Allow Clients connect to cloud services,11,False,deny,6,LAN,VPN,LAN,VPN,fd82:7b21:c59a:1::/64,False,any,False,fd82:7b21:c59a:23::/64,False,443,False,tcp,HTTPS,always,True,False,Proxy,any,N/A,DO NOT DELETE — critical
ipimen,12,VPN users to ERP system,12,True,allow,4,WAN,MGMT,WAN,MGMT,any,False,any,False,192.168.100.112/28,False,8443,False,tcp,HTTPS-ALT,always,False,False,any,any,N/A,
ipimen,13,Publish DMZ in Ineternet,13,True,deny,4,MGMT,DMZ,MGMT,DMZ,"192.168.100.128/25,any",True,any,False,172.16.10.128/32,True,any,False,icmp,ICMP-PING,always,True,False,any,"backup.user,network.admin,user1",N/A,Allow for SSL inspection bypass
ipimen,14,Admin team access to LAN,14,True,allow,both,MGMT,LAN,MGMT,LAN,any,False,any,False,"192.168.128.0/18,fd82:7b21:c59a:1:4de1:a123:37ed:aec4/32",True,8080,False,tcp,HTTP-ALT,always,True,False,any,any,N/A,
ipimen,15,Restrict DMZ access to VPN,15,True,deny,4,DMZ,VPN,DMZ,VPN,172.16.10.38/32,False,any,False,any,False,587,False,tcp,SMTP-TLS,always,False,False,any,any,N/A,Allow for SSL inspection bypass
ipimen,16,LAN reach MGMT,16,True,allow,4,VPN,MGMT,VPN,MGMT,any,False,any,False,192.168.100.207/32,False,445,False,tcp,SMB,always,False,False,any,any,N/A,
ipimen,17,IoT devices access to internal network,17,True,allow,4,MGMT,WAN,MGMT,WAN,any,False,any,False,157.150.155.75/32,False,1024-65535,False,TCP/UDP,HIGH-PORTS,always,False,False,any,"backup.user,network.admin,user1",N/A,Monitoring hook
ipimen,18,MGMT outbound to DMZ,18,True,allow,4,MGMT,DMZ,MGMT,DMZ,192.168.100.48/28,False,any,False,any,False,587,False,tcp,SMTP-TLS,always,True,False,Video/Audio,any,N/A,
ipimen,19,Admin team inbound from Portal,19,True,allow,4,DMZ,WAN,DMZ,WAN,"172.16.10.57/32,any",False,any,False,"any,160.226.32.45/32",False,22,False,tcp,SSH,always,False,False,any,backup.user,N/A,Review in Q2 2024
ipimen,20,Inspect Web servers traffic to Mail Server,20,True,allow,4,LAN,WAN,LAN,WAN,"192.168.187.207/32,any",False,any,False,5.75.62.11/32,False,993,False,tcp,IMAP-SSL,always,True,False,any,"john.doe,manager,noc.operator",N/A,Legacy — check before removing
ipimen,21,Internal users to Internet,21,True,allow,4,VPN,LAN,VPN,LAN,192.168.23.80/28,False,any,False,"any,192.168.117.249/32",False,389,False,tcp,LDAP,always,True,False,any,any,N/A,
ipimen,22,IoT devices to LAN,22,True,allow,4,DMZ,LAN,DMZ,LAN,"172.16.10.240/28,172.16.10.128/25",False,any,False,"192.168.48.0/20,192.168.174.0/23",False,443,False,tcp,HTTPS,always,False,False,Proxy,any,N/A,
ipimen,23,Guest network outbound to VPN,23,True,deny,4,MGMT,VPN,MGMT,VPN,192.168.100.160/28,False,any,False,192.168.23.169-192.168.23.175,False,1521,False,tcp,Oracle,always,False,False,any,any,N/A,Requested by HR
