vendor,rule_id,rule_name,seq,enabled,action,ip_version,src_zone,dst_zone,src_iface,dst_iface,src_addr,src_addr_negated,src_port,src_port_negated,dst_addr,dst_addr_negated,dst_port,dst_port_negated,protocol,service,schedule,log,nat_related,app_id,user_id,icmp_type,notes
opnsense,128a499c-695b-44a3-b3b4-42dc4b4a22b1,Admin team to Staging servers,1,True,allow,4,lan,N/A,lan,N/A,191.247.126.126/32,False,any,False,any,False,25,N/A,tcp,SMTP,always,True,N/A,N/A,N/A,N/A,
opnsense,68103827-24bb-4df9-bb93-57b72e768618,Admin team access to VPN Gateway,2,False,allow,4,lan,N/A,lan,N/A,"192.168.145.175-192.168.145.183,192.168.224.0/19",False,any,False,192.168.23.136-192.168.23.150,False,53,N/A,udp,DNS,always,True,N/A,N/A,N/A,N/A,
opnsense,f1d65ff1-ed76-45b6-8666-88616a24c6e6,Deny Guest netork from Test network,3,True,allow,4,lan,N/A,lan,N/A,any,False,any,False,192.168.100.192/27,False,3389,N/A,tcp,RDP,always,True,N/A,N/A,N/A,N/A,
opnsense,7c1e4d8c-7cd2-4b29-9697-376f7f76ad91,Deny VPN users from MGMT,4,True,allow,6,lan,N/A,lan,N/A,any,False,any,False,fd82:7b21:c59a:99:99e9:f71:1a7e:ccc2,False,any,N/A,any,any,always,False,N/A,N/A,N/A,N/A,
opnsense,d1018170-fc5e-4ef2-b552-8c4b0ef3cd2b,DMZ connection to CCTV system,5,False,allow,6,dmz,N/A,dmz,N/A,fd82:7b21:c59a:10:fb94:4aad:2f7c:3ffc,True,any,False,fd82:7b21:c59a:99:a030:1223:d830:aab3,False,any,N/A,any,any,always,False,N/A,N/A,N/A,N/A,
opnsense,f822fa8b-ac9b-40fd-a6be-b04f93f283ee,VPN to Firewall,6,True,deny,4,vpn,N/A,vpn,N/A,192.168.23.176/28,False,any,False,172.16.10.116/32,False,6379,N/A,tcp,Redis,always,False,N/A,N/A,N/A,N/A,
opnsense,e4a5ef3c-3359-449a-b5a5-b9db95979b2c,MGMT connection to printer network,7,True,deny,4,mgmt,N/A,mgmt,N/A,192.168.100.193/32,False,any,False,192.168.23.54/32,False,161,N/A,udp,SNMP,always,False,N/A,N/A,N/A,N/A,
opnsense,fc347b2f-0d14-4d88-9ff5-5a504768282b,Mail server access to Portal,8,False,deny,4,mgmt,N/A,mgmt,N/A,192.168.100.32/28,True,any,False,any,False,5432,N/A,tcp,PostgreSQL,always,True,N/A,N/A,N/A,N/A,
opnsense,4cb29334-569e-47aa-bd64-bf53f7897e08,MGMT access from WAN,9,False,allow,4,wan,N/A,wan,N/A,any,False,any,False,192.168.100.133/32,True,25,N/A,tcp,SMTP,always,False,N/A,N/A,N/A,N/A,
opnsense,09c2b0f4-058d-4893-9bce-f9b097ad28cc,Drop DMZ to MGMT,10,True,deny,4,dmz,N/A,dmz,N/A,172.16.10.12/32,False,any,False,any,False,443,N/A,tcp,HTTPS,always,True,N/A,N/A,N/A,N/A,
opnsense,38ad12f4-78a5-4e82-9a54-5b62407c9e65,Allow Clients connect to cloud services,11,False,deny,6,lan,N/A,lan,N/A,fd82:7b21:c59a:1::/64,False,any,False,fd82:7b21:c59a:23::/64,False,443,N/A,tcp,HTTPS,always,True,N/A,N/A,N/A,N/A,
opnsense,5302d1bf-2f2a-4c60-9d11-fd89d9b60f71,VPN users to ERP system,12,True,allow,4,wan,N/A,wan,N/A,any,False,any,False,192.168.100.112/28,False,8443,N/A,tcp,HTTPS_ALT,always,False,N/A,N/A,N/A,N/A,
opnsense,107a022f-b87e-49ec-8e7f-19b07cc308ba,Publish DMZ in Ineternet,13,True,deny,4,mgmt,N/A,mgmt,N/A,192.168.100.128/25,True,any,False,172.16.10.128/32,True,any,N/A,icmp,ICMP-PING,always,True,N/A,N/A,N/A,N/A,
opnsense,e1e43b4e-a1cd-4821-980f-6788e5ab8e9e,Admin team access to LAN,14,True,allow,both,mgmt,N/A,mgmt,N/A,any,False,62704,False,"192.168.128.0/18,fd82:7b21:c59a:1:4de1:a123:37ed:aec4/128",True,8080,N/A,tcp,HTTP_ALT,always,True,N/A,N/A,N/A,N/A,
opnsense,e9d9bd97-a1ba-419f-81df-ba04604de760,Restrict DMZ access to VPN,15,True,deny,4,dmz,N/A,dmz,N/A,172.16.10.38/32,False,any,False,any,False,587,N/A,tcp,SMTP_TLS,always,False,N/A,N/A,N/A,N/A,
opnsense,c27e135b-6383-44d0-805f-916b13fb4d39,LAN reach MGMT,16,True,allow,4,vpn,N/A,vpn,N/A,any,False,any,False,192.168.100.207/32,False,445,N/A,tcp,SMB,always,False,N/A,N/A,N/A,N/A,
