vendor,rule_id,rule_name,seq,enabled,action,ip_version,src_zone,dst_zone,src_iface,dst_iface,src_addr,src_addr_negated,src_port,src_port_negated,dst_addr,dst_addr_negated,dst_port,dst_port_negated,protocol,service,schedule,log,nat_related,app_id,user_id,icmp_type,notes
paloalto,d77467ad-80d1-4d9a-a204-33b603c3116e,Admin team to Staging servers,1,True,allow,4,any,VPN,N/A,N/A,191.247.126.126/32,False,any,False,any,False,25,N/A,tcp,SMTP,always,True,N/A,P2P,infosec.officer,N/A,Allow for SSL inspection bypass
paloalto,bef41df7-67e8-443d-b237-1ef9fcc917c6,Admin team access to VPN Gateway,2,False,allow,4,LAN,VPN,N/A,N/A,"192.168.145.175-192.168.145.183,192.168.224.0/19",False,any,False,192.168.23.136-192.168.23.150,False,53,N/A,tcp/udp,DNS,always,True,N/A,any,any,N/A,Emergency access — Dec 16
paloalto,673dbdcc-de20-4422-90ce-195ca950e955,Deny Guest netork from Test network,3,True,allow,4,LAN,MGMT,N/A,N/A,any,False,any,False,192.168.100.192/27,False,3389,N/A,tcp,RDP,always,True,N/A,Business,"security.analyst,support.user",N/A,
paloalto,a8f63581-e59a-44ee-8752-01eebebb35b7,Deny VPN users from MGMT,4,True,allow,6,any,MGMT,N/A,N/A,any,False,any,False,fd82:7b21:c59a:99:99e9:f71:1a7e:ccc2/128,False,any,N/A,any,any,always,False,N/A,any,any,N/A,
paloalto,3cf27267-8c92-4d0b-b1cc-1e1864a39d5a,DMZ connection to CCTV system,5,False,allow,6,DMZ,MGMT,N/A,N/A,fd82:7b21:c59a:10:fb94:4aad:2f7c:3ffc/128,True,any,False,fd82:7b21:c59a:99:a030:1223:d830:aab3/128,False,any,N/A,any,any,always,False,N/A,Video/Audio,"ops.engineer,network.admin",N/A,
paloalto,d385868d-172b-457a-9111-cbb58a356a02,VPN to Firewall,6,True,deny,4,VPN,DMZ,N/A,N/A,192.168.23.176/28,False,any,False,172.16.10.116/32,False,6379,N/A,tcp,Redis,always,False,N/A,any,any,N/A,
paloalto,f62aed75-b85f-4679-98f5-fedba3570f90,MGMT connection to printer network,7,True,deny,4,MGMT,VPN,N/A,N/A,192.168.100.193/32,False,any,False,192.168.23.54/32,False,161,N/A,udp,SNMP,always,False,N/A,Social-Media,"web.admin,test.user",N/A,Temporary access for audit
paloalto,ba8ba828-dc74-476d-83bf-61ae96563910,Mail server access to Portal,8,False,deny,4,MGMT,any,N/A,N/A,192.168.100.32/28,True,any,False,any,False,5432,N/A,tcp,PostgreSQL,always,True,N/A,any,any,N/A,DO NOT DELETE — critical
paloalto,ee9f1591-7d68-4401-ae81-db6b7f22561c,MGMT access from WAN,9,False,allow,4,WAN,MGMT,N/A,N/A,any,False,any,False,192.168.100.133/32,True,25,N/A,tcp,SMTP,always,False,N/A,any,network.admin,N/A,
paloalto,68487382-5a7b-4f88-b2e5-b569d8cc7a6d,Drop DMZ to MGMT,10,True,deny,4,DMZ,MGMT,N/A,N/A,172.16.10.12/32,False,any,False,any,False,443,N/A,tcp,HTTPS,always,True,N/A,any,any,N/A,
paloalto,f62f3baf-29fb-43e6-83aa-46c00bb528c4,Allow Clients connect to cloud services,11,False,deny,6,LAN,VPN,N/A,N/A,fd82:7b21:c59a:1::/64,False,any,False,fd82:7b21:c59a:23::/64,False,443,N/A,tcp,HTTPS,always,True,N/A,Proxy,any,N/A,DO NOT DELETE — critical
paloalto,ffba57ee-7d16-403b-8f07-be3f62bd4d0e,VPN users to ERP system,12,True,allow,4,WAN,MGMT,N/A,N/A,any,False,any,False,192.168.100.112/28,False,8443,N/A,tcp,HTTPS-ALT,always,False,N/A,any,any,N/A,
paloalto,09fd90ac-667b-403d-80d1-327d846283dd,Publish DMZ in Ineternet,13,True,deny,4,MGMT,DMZ,N/A,N/A,192.168.100.128/25,True,any,False,172.16.10.128/32,True,any,N/A,icmp,ICMP-PING,always,True,N/A,any,"backup.user,network.admin,user1",N/A,Allow for SSL inspection bypass
paloalto,f21339b0-bbf6-41af-a64a-37fd62143388,Admin team access to LAN,14,True,allow,both,MGMT,LAN,N/A,N/A,any,False,any,False,"192.168.128.0/18,fd82:7b21:c59a:1:4de1:a123:37ed:aec4/128",True,8080,N/A,tcp,HTTP-ALT,always,True,N/A,any,any,N/A,
paloalto,26d7a812-9c1b-4e88-8af7-a79338ab397e,Restrict DMZ access to VPN,15,True,deny,4,DMZ,VPN,N/A,N/A,172.16.10.38/32,False,any,False,any,False,587,N/A,tcp,SMTP-TLS,always,False,N/A,any,any,N/A,Allow for SSL inspection bypass
paloalto,668c2e93-0c5a-4ed4-9929-747273103dac,LAN reach MGMT,16,True,allow,4,VPN,MGMT,N/A,N/A,any,False,any,False,192.168.100.207/32,False,445,N/A,tcp,SMB,always,False,N/A,any,any,N/A,
paloalto,7ef3aa6f-c2bc-4ff9-b79b-95efe1a5f4c4,IoT devices access to internal network,17,True,allow,4,MGMT,WAN,N/A,N/A,any,False,any,False,157.150.155.75/32,False,1024-65535,N/A,tcp/udp,HIGH-PORTS,always,False,N/A,any,"backup.user,network.admin,user1",N/A,Monitoring hook
paloalto,fd1af0df-c9b9-45ae-a49d-93fbd046a69d,MGMT outbound to DMZ,18,True,allow,4,MGMT,DMZ,N/A,N/A,192.168.100.48/28,False,any,False,any,False,587,N/A,tcp,SMTP-TLS,always,True,N/A,Video/Audio,any,N/A,
paloalto,f060369a-651c-4da3-b00c-49e9c36f8cc6,Admin team inbound from Portal,19,True,allow,4,DMZ,WAN,N/A,N/A,172.16.10.57/32,False,any,False,"any,160.226.32.45/32",False,22,N/A,tcp,SSH,always,False,N/A,any,backup.user,N/A,Review in Q2 2024
paloalto,77d7335f-fd4a-4f2e-bd55-d46584bce2d7,Inspect Web servers traffic to Mail Server,20,True,allow,4,LAN,WAN,N/A,N/A,192.168.187.207/32,False,any,False,5.75.62.11/32,False,993,N/A,tcp,IMAP-SSL,always,True,N/A,any,"john.doe,manager,noc.operator",N/A,Legacy — check before removing
paloalto,c0f0c30a-d023-406d-8a68-01e2cfd572c6,Internal users to Internet,21,True,allow,4,VPN,LAN,N/A,N/A,192.168.23.80/28,False,any,False,"any,192.168.117.249/32",False,389,N/A,tcp,LDAP,always,True,N/A,any,any,N/A,
