vendor,rule_id,rule_name,seq,enabled,action,ip_version,src_zone,dst_zone,src_iface,dst_iface,src_addr,src_addr_negated,src_port,src_port_negated,dst_addr,dst_addr_negated,dst_port,dst_port_negated,protocol,service,schedule,log,nat_related,app_id,user_id,icmp_type,notes
pfsense,1735331401,Admin team to Staging servers,1,True,allow,4,lan,N/A,lan,N/A,191.247.126.126/32,False,any,False,any,False,25,N/A,tcp,SMTP,always,True,N/A,N/A,N/A,N/A,
pfsense,1736109002,Admin team access to VPN Gateway,2,False,allow,4,lan,N/A,lan,N/A,"192.168.145.175-192.168.145.183,192.168.224.0/19",False,any,False,192.168.23.136-192.168.23.150,False,53,N/A,udp,DNS,always,True,N/A,N/A,N/A,N/A,
pfsense,1744921803,Deny Guest netork from Test network,3,True,allow,4,lan,N/A,lan,N/A,any,False,any,False,192.168.100.192/27,False,3389,N/A,tcp,RDP,always,True,N/A,N/A,N/A,N/A,
pfsense,1734467404,Deny VPN users from MGMT,4,True,allow,6,lan,N/A,lan,N/A,any,False,any,False,fd82:7b21:c59a:99:99e9:f71:1a7e:ccc2,False,any,N/A,any,any,always,False,N/A,N/A,N/A,N/A,
pfsense,1722025805,DMZ connection to CCTV system,5,False,allow,6,dmz,N/A,dmz,N/A,fd82:7b21:c59a:10:fb94:4aad:2f7c:3ffc,True,any,False,fd82:7b21:c59a:99:a030:1223:d830:aab3,False,any,N/A,any,any,always,False,N/A,N/A,N/A,N/A,
pfsense,1714595406,VPN to Firewall,6,True,deny,4,vpn,N/A,vpn,N/A,192.168.23.176/28,False,any,False,172.16.10.116/32,False,6379,N/A,tcp,Redis,always,False,N/A,N/A,N/A,N/A,
pfsense,1756153807,MGMT connection to printer network,7,True,deny,4,mgmt,N/A,mgmt,N/A,192.168.100.193/32,False,any,False,192.168.23.54/32,False,161,N/A,udp,SNMP,always,False,N/A,N/A,N/A,N/A,
pfsense,1755808208,Mail server access to Portal,8,False,deny,4,mgmt,N/A,mgmt,N/A,192.168.100.32/28,True,any,False,any,False,5432,N/A,tcp,PostgreSQL,always,True,N/A,N/A,N/A,N/A,
pfsense,1766608209,MGMT access from WAN,9,False,allow,4,wan,N/A,wan,N/A,any,False,any,False,192.168.100.133/32,True,25,N/A,tcp,SMTP,always,False,N/A,N/A,N/A,N/A,
pfsense,1764707410,Drop DMZ to MGMT,10,True,deny,4,dmz,N/A,dmz,N/A,172.16.10.12/32,False,any,False,any,False,443,N/A,tcp,HTTPS,always,True,N/A,N/A,N/A,N/A,
pfsense,1747600211,Allow Clients connect to cloud services,11,False,deny,6,lan,N/A,lan,N/A,fd82:7b21:c59a:1::/64,False,any,False,fd82:7b21:c59a:23::/64,False,443,N/A,tcp,HTTPS,always,True,N/A,N/A,N/A,N/A,
pfsense,1732566612,VPN users to ERP system,12,True,allow,4,wan,N/A,wan,N/A,any,False,any,False,192.168.100.112/28,False,8443,N/A,tcp,HTTPS_ALT,always,False,N/A,N/A,N/A,N/A,
pfsense,1766608213,Publish DMZ in Ineternet,13,True,deny,4,mgmt,N/A,mgmt,N/A,192.168.100.128/25,True,any,False,172.16.10.128/32,True,any,N/A,icmp,ICMP-PING,always,True,N/A,N/A,N/A,time-exceeded,
pfsense,1746217814,Admin team access to LAN,14,True,allow,both,mgmt,N/A,mgmt,N/A,any,False,62704,False,"192.168.128.0/18,fd82:7b21:c59a:1:4de1:a123:37ed:aec4/128",True,8080,N/A,tcp,HTTP_ALT,always,True,N/A,N/A,N/A,N/A,
pfsense,1719347415,Restrict DMZ access to VPN,15,True,deny,4,dmz,N/A,dmz,N/A,172.16.10.38/32,False,any,False,any,False,587,N/A,tcp,SMTP_TLS,always,False,N/A,N/A,N/A,N/A,
pfsense,1739565016,LAN reach MGMT,16,True,allow,4,vpn,N/A,vpn,N/A,any,False,any,False,192.168.100.207/32,False,445,N/A,tcp,SMB,always,False,N/A,N/A,N/A,N/A,
pfsense,1731270617,IoT devices access to internal network,17,True,allow,4,mgmt,N/A,mgmt,N/A,any,False,any,False,157.150.155.75/32,False,1024-65535,N/A,tcp,HIGH_PORTS,always,False,N/A,N/A,N/A,N/A,
pfsense,1755981018,MGMT outbound to DMZ,18,True,allow,4,mgmt,N/A,mgmt,N/A,192.168.100.48/28,False,10519,False,any,False,587,N/A,tcp,SMTP_TLS,always,True,N/A,N/A,N/A,N/A,
pfsense,1712953819,Admin team inbound from Portal,19,True,allow,4,dmz,N/A,dmz,N/A,172.16.10.57/32,False,46206,False,any,False,22,N/A,tcp,SSH,always,False,N/A,N/A,N/A,N/A,
pfsense,1746995420,Inspect Web servers traffic to Mail Server,20,True,allow,4,lan,N/A,lan,N/A,192.168.187.207/32,False,any,False,5.75.62.11/32,False,993,N/A,tcp,IMAP_SSL,always,True,N/A,N/A,N/A,N/A,
pfsense,1751401821,Internal users to Internet,21,True,allow,4,vpn,N/A,vpn,N/A,192.168.23.80/28,False,4477,False,any,False,389,N/A,tcp,LDAP,always,True,N/A,N/A,N/A,N/A,
pfsense,1716409822,IoT devices to LAN,22,True,allow,4,dmz,N/A,dmz,N/A,"172.16.10.240/28,172.16.10.128/25",False,any,False,"192.168.48.0/20,192.168.174.0/23",False,443,N/A,tcp,HTTPS,always,False,N/A,N/A,N/A,N/A,
pfsense,1745958623,Guest network outbound to VPN,23,True,deny,4,mgmt,N/A,mgmt,N/A,192.168.100.160/28,False,any,False,192.168.23.169-192.168.23.175,False,1521,N/A,tcp,Oracle,always,False,N/A,N/A,N/A,N/A,
pfsense,1746477024,MGMT outbound to any,24,False,allow,4,mgmt,N/A,mgmt,N/A,"192.168.100.146-192.168.100.150,192.168.100.208/28",False,any,False,188.25.236.108/32,False,any,N/A,icmp,ICMP-PING,always,True,N/A,N/A,N/A,time-exceeded,
pfsense,1737405025,WAN reach PLC network,25,True,allow,4,wan,N/A,wan,N/A,any,False,54205,False,172.16.10.184/32,False,389,N/A,tcp,LDAP,always,False,N/A,N/A,N/A,N/A,
pfsense,1714509026,LAN to printer network except Production servers,26,True,allow,4,lan,N/A,lan,N/A,"192.168.23.218-192.168.23.222,192.168.250.44/32",False,any,False,172.16.10.80/28,False,any,N/A,ip,IPSec-ESP,always,True,N/A,N/A,N/A,N/A,
pfsense,1758141027,DMZ outbound to MGMT,27,False,allow,4,dmz,N/A,dmz,N/A,172.16.10.148-172.16.10.151,True,any,False,192.168.100.113/32,False,80,N/A,tcp,WEB,always,False,N/A,N/A,N/A,N/A,
pfsense,1760473828,Inspect anyy traffic to MGMT,28,True,allow,4,lan,N/A,lan,N/A,any,False,any,False,192.168.100.190/32,False,53,N/A,udp,DNS,always,True,N/A,N/A,N/A,N/A,
pfsense,1761078629,Publish VPN Gateway in Internet,29,False,deny,6,mgmt,N/A,mgmt,N/A,fd82:7b21:c59a:99::/64,True,any,False,any,False,445,N/A,tcp,SMB,always,False,N/A,N/A,N/A,N/A,
pfsense,1726345830,LAN to Firewall except HR system,30,False,allow,4,lan,N/A,lan,N/A,192.168.192.0/20,False,any,False,"105.116.131.30/32,217.214.230.242/32",False,3389,N/A,tcp,RDP,always,False,N/A,N/A,N/A,N/A,
pfsense,1738441831,Publish any for WAN,31,True,allow,4,mgmt,N/A,mgmt,N/A,192.168.100.171/32,False,any,False,134.236.149.26/32,False,27017,N/A,tcp,MongoDB,always,False,N/A,N/A,N/A,N/A,
pfsense,1760646632,Allow any to Backup server,32,True,allow,4,lan,N/A,lan,N/A,6.51.62.57/32,False,any,False,46.86.220.95/32,False,25,N/A,tcp,SMTP,always,True,N/A,N/A,N/A,N/A,
pfsense,1735849833,Mail server outbound to SAP servers,33,True,deny,4,lan,N/A,lan,N/A,192.168.57.50-192.168.57.58,True,any,False,147.126.75.155/32,False,any,N/A,icmp,ICMP-PING,always,True,N/A,N/A,N/A,echo-reply,
