vendor,rule_id,rule_name,seq,enabled,action,src_zone,dst_zone,src_iface,dst_iface,src_addr,src_addr_negated,src_port,src_port_negated,dst_addr,dst_addr_negated,dst_port,dst_port_negated,protocol,service,ip_version,app_id,user_id,anomaly_status,anomaly_count,anomaly_types,related_rule_ids,related_rule_names,related_seqs,related_roles,explanations,overlap_details,risk_scores
fortigate,6,Admin team to Staging servers,1,True,allow,any,VPN,any,VPN,191.247.126.126/32,False,any,False,any,False,25,N/A,TCP,SMTP,4,P2P,infosec.officer,clean,0,,,,,,,,
fortigate,41,Admin team access to VPN Gateway,2,False,allow,LAN,VPN,LAN,VPN,"192.168.145.175-192.168.145.183,192.168.224.0/19",False,any,False,192.168.23.136-192.168.23.150,False,53,N/A,TCP/UDP,DNS,4,any,any,clean,0,,,,,,,,
fortigate,72,Deny Guest netork from Test network,3,True,allow,LAN,MGMT,LAN,MGMT,any,False,any,False,192.168.100.192/27,False,3389,N/A,TCP,RDP,4,Business,"security.analyst,support.user",clean,0,,,,,,,,
fortigate,97,Deny VPN users from MGMT,4,True,allow,any,MGMT,any,MGMT,any,False,any,False,fd82:7b21:c59a:99:99e9:f71:1a7e:ccc2/128,False,any,N/A,any,any,6,any,any,affected,1,over_permissive,N/A (single-rule),N/A (single-rule),N/A (single-rule),over_permissive,"Rule 97 (seq 4) is an allow rule that is over-permissive (5b:any-dport∧any-proto), violating least-privilege.",,0.8257
fortigate,128,DMZ connection to CCTV system,5,False,allow,DMZ,MGMT,DMZ,MGMT,fd82:7b21:c59a:10:fb94:4aad:2f7c:3ffc/128,True,any,False,fd82:7b21:c59a:99:a030:1223:d830:aab3/128,False,any,N/A,any,any,6,Video/Audio,"ops.engineer,network.admin",clean,0,,,,,,,,
fortigate,133,VPN to Firewall,6,True,deny,VPN,DMZ,VPN,DMZ,192.168.23.176/28,False,any,False,172.16.10.116/32,False,6379,N/A,TCP,Redis,4,any,any,clean,0,,,,,,,,
fortigate,154,MGMT connection to printer network,7,True,deny,MGMT,VPN,MGMT,VPN,192.168.100.193/32,False,any,False,192.168.23.54/32,False,161,N/A,UDP,SNMP,4,Social-Media,"web.admin,test.user",clean,0,,,,,,,,
fortigate,162,Mail server access to Portal,8,False,deny,MGMT,any,MGMT,any,192.168.100.32/28,True,any,False,any,False,5432,N/A,TCP,PostgreSQL,4,any,any,clean,0,,,,,,,,
fortigate,166,MGMT access from WAN,9,False,allow,WAN,MGMT,WAN,MGMT,any,False,any,False,192.168.100.133/32,True,25,N/A,TCP,SMTP,4,any,network.admin,clean,0,,,,,,,,
fortigate,192,Drop DMZ to MGMT,10,True,deny,DMZ,MGMT,DMZ,MGMT,172.16.10.12/32,False,any,False,any,False,443,N/A,TCP,HTTPS,4,any,any,affected,2,conflict | conflict,3168 | 6817,DMZ acces to MGMT | Clients access to MGMT,149 | 343,earlier | earlier,"Rules 192 (seq 10, 'deny') and 3168 (seq 149, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering. | Rules 192 (seq 10, 'deny') and 6817 (seq 343, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering.","src_ip=172.16.10.12/32; dst_ip=192.168.100.192/26; src_port=any; dst_port=443; protocol=tcp | src_ip=172.16.10.12/32; dst_ip=0.0.0.0/1,128.0.0.0/2,192.0.0.0/9,192.128.0.0/11,192.160.0.0/13,192.168.0.0/18,192.168.64.0/19,192.168.96.0/22,192.168.100.0/25,192.168.100.128/26,192.168.100.192/29,192.168.100.209/32,192.168.100.210/31,192.168.100.212/30,192.168.100.216/29,192.168.100.224/27,192.168.101.0/24,192.168.102.0/23,192.168.104.0/21,192.168.112.0/20,192.168.128.0/17,192.169.0.0/16,192.170.0.0/15,192.172.0.0/14,192.176.0.0/12,192.192.0.0/10,193.0.0.0/8,194.0.0.0/7,196.0.0.0/6,200.0.0.0/5,208.0.0.0/4,224.0.0.0/3; src_port=any; dst_port=443; protocol=tcp",0.3484 | 0.4019
