vendor,rule_id,rule_name,seq,enabled,action,src_zone,dst_zone,src_iface,dst_iface,src_addr,src_addr_negated,src_port,src_port_negated,dst_addr,dst_addr_negated,dst_port,dst_port_negated,protocol,service,ip_version,app_id,user_id,anomaly_status,anomaly_count,anomaly_types,related_rule_ids,related_rule_names,related_seqs,related_roles,explanations,overlap_details,risk_scores
ipimen,1,Admin team to Staging servers,1,True,allow,any,VPN,any,VPN,"191.247.126.126/32,any",False,any,False,any,False,25,False,tcp,SMTP,4,P2P,infosec.officer,affected,2,conflict | conflict,73 | 240,Guest network to all servers except DB Server | Drop Backup agents to Monitoring,73 | 240,earlier | earlier,"Rules 1 (seq 1, 'allow') and 73 (seq 73, 'deny') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering. | Rules 1 (seq 1, 'allow') and 240 (seq 240, 'deny') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering.","src_ip=192.168.23.0/25,192.168.23.240/28; dst_ip=133.64.189.19/32; src_port=any; dst_port=25; protocol=tcp | src_ip=70.52.158.128/32; dst_ip=192.168.23.48/28; src_port=any; dst_port=25; protocol=tcp",0.2282 | 0.2255
ipimen,2,Admin team access to VPN Gateway,2,False,allow,LAN,VPN,LAN,VPN,"192.168.145.175-192.168.145.183,192.168.224.0/19",False,any,False,192.168.23.136-192.168.23.150,False,53,False,TCP/UDP,DNS,4,any,any,clean,0,,,,,,,,
ipimen,3,Deny Guest netork from Test network,3,True,allow,LAN,MGMT,LAN,MGMT,any,False,any,False,192.168.100.192/27,False,3389,False,tcp,RDP,4,Business,"security.analyst,support.user",clean,0,,,,,,,,
ipimen,4,Deny VPN users from MGMT,4,True,allow,any,MGMT,any,MGMT,any,False,any,False,fd82:7b21:c59a:99:99e9:f71:1a7e:ccc2/32,False,any,False,any,any,6,any,any,affected,2,over_permissive | redundancy,N/A (single-rule) | 396,N/A (single-rule) | all servers access from VPN,N/A (single-rule) | 396,over_permissive | covering (anchor),"Rule 4 (seq 4) is an allow rule that is over-permissive (5b:any-dport∧any-proto), violating least-privilege. | Rule 4 (seq 4) is a near-universal allow anchor that makes 1 specific rules (396) functionally redundant; however, those specific rules encode the intended least-privilege policy. RECOMMENDATION: restrict or remove the over-permissive anchor rule 4; do NOT remove the specific rules.", | collapsed: 1 overlaps,0.9353 | 
ipimen,5,DMZ connection to CCTV system,5,False,allow,DMZ,MGMT,DMZ,MGMT,"fd82:7b21:c59a:10:fb94:4aad:2f7c:3ffc/32,any",True,any,False,fd82:7b21:c59a:99:a030:1223:d830:aab3/32,False,any,False,any,any,6,Video/Audio,"ops.engineer,network.admin",clean,0,,,,,,,,
ipimen,6,VPN to Firewall,6,True,deny,VPN,DMZ,VPN,DMZ,192.168.23.176/28,False,any,False,172.16.10.116/32,False,6379,False,tcp,Redis,4,any,any,affected,1,conflict,42,VPN inbound from ERP system,42,earlier,"Rules 6 (seq 6, 'deny') and 42 (seq 42, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering.",src_ip=192.168.23.176/28; dst_ip=172.16.10.116/32; src_port=any; dst_port=6379; protocol=tcp,0.2757
ipimen,7,MGMT connection to printer network,7,True,deny,MGMT,VPN,MGMT,VPN,"192.168.100.193/32,any",False,any,False,192.168.23.54/32,False,161,False,udp,SNMP,4,Social-Media,"web.admin,test.user",clean,0,,,,,,,,
ipimen,8,Mail server access to Portal,8,False,deny,MGMT,any,MGMT,any,192.168.100.32/28,True,any,False,any,False,5432,False,tcp,PostgreSQL,4,any,any,clean,0,,,,,,,,
ipimen,9,MGMT access from WAN,9,False,allow,WAN,MGMT,WAN,MGMT,any,False,any,False,192.168.100.133/32,True,25,False,tcp,SMTP,4,any,network.admin,clean,0,,,,,,,,
ipimen,10,Drop DMZ to MGMT,10,True,deny,DMZ,MGMT,DMZ,MGMT,172.16.10.12/32,False,any,False,any,False,443,False,tcp,HTTPS,4,any,any,affected,3,conflict | conflict | conflict,149 | 300 | 343,DMZ acces to MGMT | Web servers to Management network except Finance servers | Clients access to MGMT,149 | 300 | 343,earlier | earlier | earlier,"Rules 10 (seq 10, 'deny') and 149 (seq 149, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering. | Rules 10 (seq 10, 'deny') and 300 (seq 300, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering. | Rules 10 (seq 10, 'deny') and 343 (seq 343, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering.","src_ip=172.16.10.12/32; dst_ip=192.168.100.192/26; src_port=any; dst_port=443; protocol=tcp | src_ip=172.16.10.12/32; dst_ip=192.168.100.16/32; src_port=any; dst_port=443; protocol=tcp | src_ip=172.16.10.12/32; dst_ip=0.0.0.0/1,128.0.0.0/2,192.0.0.0/9,192.128.0.0/11,192.160.0.0/13,192.168.0.0/18,192.168.64.0/19,192.168.96.0/22,192.168.100.0/25,192.168.100.128/26,192.168.100.192/29,192.168.100.209/32,192.168.100.210/31,192.168.100.212/30,192.168.100.216/29,192.168.100.224/27,192.168.101.0/24,192.168.102.0/23,192.168.104.0/21,192.168.112.0/20,192.168.128.0/17,192.169.0.0/16,192.170.0.0/15,192.172.0.0/14,192.176.0.0/12,192.192.0.0/10,193.0.0.0/8,194.0.0.0/7,196.0.0.0/6,200.0.0.0/5,208.0.0.0/4,224.0.0.0/3; src_port=any; dst_port=443; protocol=tcp",0.3484 | 0.3989 | 0.4119
