vendor,rule_id,rule_name,seq,enabled,action,src_zone,dst_zone,src_iface,dst_iface,src_addr,src_addr_negated,src_port,src_port_negated,dst_addr,dst_addr_negated,dst_port,dst_port_negated,protocol,service,ip_version,app_id,user_id,anomaly_status,anomaly_count,anomaly_types,related_rule_ids,related_rule_names,related_seqs,related_roles,explanations,overlap_details,risk_scores
opnsense,128a499c-695b-44a3-b3b4-42dc4b4a22b1,Admin team to Staging servers,1,True,allow,lan,N/A,lan,N/A,191.247.126.126/32,False,any,False,any,False,25,N/A,tcp,SMTP,4,N/A,N/A,affected,1,generalization,15e54a18-9013-44d9-9eb8-15b6281c7627,DB servers to all servers,368,specific,"Rule 15e54a18-9013-44d9-9eb8-15b6281c7627 (seq 368) is a near-universal permit-all rule that makes rule 128a499c-695b-44a3-b3b4-42dc4b4a22b1 (seq 1) functionally redundant; however, rule 128a499c-695b-44a3-b3b4-42dc4b4a22b1 encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the over-permissive rule 15e54a18-9013-44d9-9eb8-15b6281c7627; do NOT remove rule 128a499c-695b-44a3-b3b4-42dc4b4a22b1.",src_ip=191.247.126.126/32; dst_ip=any; src_port=any; dst_port=25; protocol=tcp,0.1177
opnsense,68103827-24bb-4df9-bb93-57b72e768618,Admin team access to VPN Gateway,2,False,allow,lan,N/A,lan,N/A,"192.168.145.175-192.168.145.183,192.168.224.0/19",False,any,False,192.168.23.136-192.168.23.150,False,53,N/A,udp,DNS,4,N/A,N/A,clean,0,,,,,,,,
opnsense,f1d65ff1-ed76-45b6-8666-88616a24c6e6,Deny Guest netork from Test network,3,True,allow,lan,N/A,lan,N/A,any,False,any,False,192.168.100.192/27,False,3389,N/A,tcp,RDP,4,N/A,N/A,affected,2,generalization | generalization,eb028d09-2757-4e42-b49b-9812b027582b | 15e54a18-9013-44d9-9eb8-15b6281c7627,any access to MGMT | DB servers to all servers,109 | 368,specific | specific,"Rule eb028d09-2757-4e42-b49b-9812b027582b (seq 109) is a near-universal permit-all rule that makes rule f1d65ff1-ed76-45b6-8666-88616a24c6e6 (seq 3) functionally redundant; however, rule f1d65ff1-ed76-45b6-8666-88616a24c6e6 encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the over-permissive rule eb028d09-2757-4e42-b49b-9812b027582b; do NOT remove rule f1d65ff1-ed76-45b6-8666-88616a24c6e6. | Rule 15e54a18-9013-44d9-9eb8-15b6281c7627 (seq 368) is a near-universal permit-all rule that makes rule f1d65ff1-ed76-45b6-8666-88616a24c6e6 (seq 3) functionally redundant; however, rule f1d65ff1-ed76-45b6-8666-88616a24c6e6 encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the over-permissive rule 15e54a18-9013-44d9-9eb8-15b6281c7627; do NOT remove rule f1d65ff1-ed76-45b6-8666-88616a24c6e6.",src_ip=any; dst_ip=192.168.100.192/27; src_port=any; dst_port=3389; protocol=tcp | src_ip=any; dst_ip=192.168.100.192/27; src_port=any; dst_port=3389; protocol=tcp,0.0983 | 0.0983
opnsense,7c1e4d8c-7cd2-4b29-9697-376f7f76ad91,Deny VPN users from MGMT,4,True,allow,lan,N/A,lan,N/A,any,False,any,False,fd82:7b21:c59a:99:99e9:f71:1a7e:ccc2,False,any,N/A,any,any,6,N/A,N/A,affected,1,over_permissive,N/A (single-rule),N/A (single-rule),N/A (single-rule),over_permissive,"Rule 7c1e4d8c-7cd2-4b29-9697-376f7f76ad91 (seq 4) is an allow rule that is over-permissive (5b:any-dport∧any-proto), violating least-privilege.",,0.5225
opnsense,d1018170-fc5e-4ef2-b552-8c4b0ef3cd2b,DMZ connection to CCTV system,5,False,allow,dmz,N/A,dmz,N/A,fd82:7b21:c59a:10:fb94:4aad:2f7c:3ffc,True,any,False,fd82:7b21:c59a:99:a030:1223:d830:aab3,False,any,N/A,any,any,6,N/A,N/A,clean,0,,,,,,,,
opnsense,f822fa8b-ac9b-40fd-a6be-b04f93f283ee,VPN to Firewall,6,True,deny,vpn,N/A,vpn,N/A,192.168.23.176/28,False,any,False,172.16.10.116/32,False,6379,N/A,tcp,Redis,4,N/A,N/A,clean,0,,,,,,,,
opnsense,e4a5ef3c-3359-449a-b5a5-b9db95979b2c,MGMT connection to printer network,7,True,deny,mgmt,N/A,mgmt,N/A,192.168.100.193/32,False,any,False,192.168.23.54/32,False,161,N/A,udp,SNMP,4,N/A,N/A,affected,1,generalization,fe43c9fc-dce4-47fe-bcbb-45744e308d09,Restrict WAN access to SAP servers,219,special,"Rule fe43c9fc-dce4-47fe-bcbb-45744e308d09 (seq 219) is more general than rule e4a5ef3c-3359-449a-b5a5-b9db95979b2c (seq 7) and makes it functionally redundant with the same action 'deny'; however, rule e4a5ef3c-3359-449a-b5a5-b9db95979b2c encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the broader rule fe43c9fc-dce4-47fe-bcbb-45744e308d09; do NOT remove the specific rule e4a5ef3c-3359-449a-b5a5-b9db95979b2c.",src_ip=192.168.100.193/32; dst_ip=192.168.23.54/32; src_port=any; dst_port=161; protocol=udp,0.0878
opnsense,fc347b2f-0d14-4d88-9ff5-5a504768282b,Mail server access to Portal,8,False,deny,mgmt,N/A,mgmt,N/A,192.168.100.32/28,True,any,False,any,False,5432,N/A,tcp,PostgreSQL,4,N/A,N/A,clean,0,,,,,,,,
opnsense,4cb29334-569e-47aa-bd64-bf53f7897e08,MGMT access from WAN,9,False,allow,wan,N/A,wan,N/A,any,False,any,False,192.168.100.133/32,True,25,N/A,tcp,SMTP,4,N/A,N/A,clean,0,,,,,,,,
opnsense,09c2b0f4-058d-4893-9bce-f9b097ad28cc,Drop DMZ to MGMT,10,True,deny,dmz,N/A,dmz,N/A,172.16.10.12/32,False,any,False,any,False,443,N/A,tcp,HTTPS,4,N/A,N/A,affected,2,conflict | generalization,4c9d7045-e2a0-41dd-b72f-907534027f1d | 0ac25a4d-facf-475d-a55c-c10cb9076837,DMZ acces to MGMT | DMZ to all servers,149 | 448,earlier | special,"Rules 09c2b0f4-058d-4893-9bce-f9b097ad28cc (seq 10, 'deny') and 4c9d7045-e2a0-41dd-b72f-907534027f1d (seq 149, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering. | Rule 0ac25a4d-facf-475d-a55c-c10cb9076837 (seq 448) is more general than rule 09c2b0f4-058d-4893-9bce-f9b097ad28cc (seq 10) and makes it functionally redundant with the same action 'deny'; however, rule 09c2b0f4-058d-4893-9bce-f9b097ad28cc encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the broader rule 0ac25a4d-facf-475d-a55c-c10cb9076837; do NOT remove the specific rule 09c2b0f4-058d-4893-9bce-f9b097ad28cc.",src_ip=172.16.10.12/32; dst_ip=192.168.100.192/26; src_port=any; dst_port=443; protocol=tcp | src_ip=172.16.10.12/32; dst_ip=any; src_port=any; dst_port=443; protocol=tcp,0.2686 | 0.0968
