vendor,rule_id,rule_name,seq,enabled,action,src_zone,dst_zone,src_iface,dst_iface,src_addr,src_addr_negated,src_port,src_port_negated,dst_addr,dst_addr_negated,dst_port,dst_port_negated,protocol,service,ip_version,app_id,user_id,anomaly_status,anomaly_count,anomaly_types,related_rule_ids,related_rule_names,related_seqs,related_roles,explanations,overlap_details,risk_scores
paloalto,d77467ad-80d1-4d9a-a204-33b603c3116e,Admin team to Staging servers,1,True,allow,any,VPN,N/A,N/A,191.247.126.126/32,False,any,False,any,False,25,N/A,tcp,SMTP,4,P2P,infosec.officer,clean,0,,,,,,,,
paloalto,bef41df7-67e8-443d-b237-1ef9fcc917c6,Admin team access to VPN Gateway,2,False,allow,LAN,VPN,N/A,N/A,"192.168.145.175-192.168.145.183,192.168.224.0/19",False,any,False,192.168.23.136-192.168.23.150,False,53,N/A,tcp/udp,DNS,4,any,any,clean,0,,,,,,,,
paloalto,673dbdcc-de20-4422-90ce-195ca950e955,Deny Guest netork from Test network,3,True,allow,LAN,MGMT,N/A,N/A,any,False,any,False,192.168.100.192/27,False,3389,N/A,tcp,RDP,4,Business,"security.analyst,support.user",clean,0,,,,,,,,
paloalto,a8f63581-e59a-44ee-8752-01eebebb35b7,Deny VPN users from MGMT,4,True,allow,any,MGMT,N/A,N/A,any,False,any,False,fd82:7b21:c59a:99:99e9:f71:1a7e:ccc2/128,False,any,N/A,any,any,6,any,any,affected,1,over_permissive,N/A (single-rule),N/A (single-rule),N/A (single-rule),over_permissive,"Rule a8f63581-e59a-44ee-8752-01eebebb35b7 (seq 4) is an allow rule that is over-permissive (5b:any-dport∧any-proto), violating least-privilege.",,0.8139
paloalto,3cf27267-8c92-4d0b-b1cc-1e1864a39d5a,DMZ connection to CCTV system,5,False,allow,DMZ,MGMT,N/A,N/A,fd82:7b21:c59a:10:fb94:4aad:2f7c:3ffc/128,True,any,False,fd82:7b21:c59a:99:a030:1223:d830:aab3/128,False,any,N/A,any,any,6,Video/Audio,"ops.engineer,network.admin",clean,0,,,,,,,,
paloalto,d385868d-172b-457a-9111-cbb58a356a02,VPN to Firewall,6,True,deny,VPN,DMZ,N/A,N/A,192.168.23.176/28,False,any,False,172.16.10.116/32,False,6379,N/A,tcp,Redis,4,any,any,clean,0,,,,,,,,
paloalto,f62aed75-b85f-4679-98f5-fedba3570f90,MGMT connection to printer network,7,True,deny,MGMT,VPN,N/A,N/A,192.168.100.193/32,False,any,False,192.168.23.54/32,False,161,N/A,udp,SNMP,4,Social-Media,"web.admin,test.user",clean,0,,,,,,,,
paloalto,ba8ba828-dc74-476d-83bf-61ae96563910,Mail server access to Portal,8,False,deny,MGMT,any,N/A,N/A,192.168.100.32/28,True,any,False,any,False,5432,N/A,tcp,PostgreSQL,4,any,any,clean,0,,,,,,,,
paloalto,ee9f1591-7d68-4401-ae81-db6b7f22561c,MGMT access from WAN,9,False,allow,WAN,MGMT,N/A,N/A,any,False,any,False,192.168.100.133/32,True,25,N/A,tcp,SMTP,4,any,network.admin,clean,0,,,,,,,,
paloalto,68487382-5a7b-4f88-b2e5-b569d8cc7a6d,Drop DMZ to MGMT,10,True,deny,DMZ,MGMT,N/A,N/A,172.16.10.12/32,False,any,False,any,False,443,N/A,tcp,HTTPS,4,any,any,affected,2,conflict | conflict,61638556-2f44-4cd7-a61e-a8bd5041720d | 9c95fa44-722c-4a43-bf72-e782314eaf5e,DMZ acces to MGMT | Clients access to MGMT,149 | 343,earlier | earlier,"Rules 68487382-5a7b-4f88-b2e5-b569d8cc7a6d (seq 10, 'deny') and 61638556-2f44-4cd7-a61e-a8bd5041720d (seq 149, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering. | Rules 68487382-5a7b-4f88-b2e5-b569d8cc7a6d (seq 10, 'deny') and 9c95fa44-722c-4a43-bf72-e782314eaf5e (seq 343, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering.","src_ip=172.16.10.12/32; dst_ip=192.168.100.192/26; src_port=any; dst_port=443; protocol=tcp | src_ip=172.16.10.12/32; dst_ip=0.0.0.0/1,128.0.0.0/2,192.0.0.0/9,192.128.0.0/11,192.160.0.0/13,192.168.0.0/18,192.168.64.0/19,192.168.96.0/22,192.168.100.0/25,192.168.100.128/26,192.168.100.192/29,192.168.100.209/32,192.168.100.210/31,192.168.100.212/30,192.168.100.216/29,192.168.100.224/27,192.168.101.0/24,192.168.102.0/23,192.168.104.0/21,192.168.112.0/20,192.168.128.0/17,192.169.0.0/16,192.170.0.0/15,192.172.0.0/14,192.176.0.0/12,192.192.0.0/10,193.0.0.0/8,194.0.0.0/7,196.0.0.0/6,200.0.0.0/5,208.0.0.0/4,224.0.0.0/3; src_port=any; dst_port=443; protocol=tcp",0.3464 | 0.4005
paloalto,f62f3baf-29fb-43e6-83aa-46c00bb528c4,Allow Clients connect to cloud services,11,False,deny,LAN,VPN,N/A,N/A,fd82:7b21:c59a:1::/64,False,any,False,fd82:7b21:c59a:23::/64,False,443,N/A,tcp,HTTPS,6,Proxy,any,clean,0,,,,,,,,
paloalto,ffba57ee-7d16-403b-8f07-be3f62bd4d0e,VPN users to ERP system,12,True,allow,WAN,MGMT,N/A,N/A,any,False,any,False,192.168.100.112/28,False,8443,N/A,tcp,HTTPS-ALT,4,any,any,affected,2,generalization | conflict,221d74b7-c0f5-4f72-b5f8-0a8c807501f7 | 7c8f5d30-f9f7-48ac-b63d-969a2276e3c3,Finance team to NTP Server | Allow IoT devices to MGMT,314 | 473,special | earlier,"Rule 221d74b7-c0f5-4f72-b5f8-0a8c807501f7 (seq 314) is more general than rule ffba57ee-7d16-403b-8f07-be3f62bd4d0e (seq 12) and makes it functionally redundant with the same action 'allow'; however, rule ffba57ee-7d16-403b-8f07-be3f62bd4d0e encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the broader rule 221d74b7-c0f5-4f72-b5f8-0a8c807501f7; do NOT remove the specific rule ffba57ee-7d16-403b-8f07-be3f62bd4d0e. | Rules ffba57ee-7d16-403b-8f07-be3f62bd4d0e (seq 12, 'allow') and 7c8f5d30-f9f7-48ac-b63d-969a2276e3c3 (seq 473, 'deny') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering.",src_ip=any; dst_ip=192.168.100.112/28; src_port=any; dst_port=8443; protocol=tcp | src_ip=any; dst_ip=192.168.100.115/32; src_port=any; dst_port=8443; protocol=tcp,0.1583 | 0.4138
paloalto,09fd90ac-667b-403d-80d1-327d846283dd,Publish DMZ in Ineternet,13,True,deny,MGMT,DMZ,N/A,N/A,192.168.100.128/25,True,any,False,172.16.10.128/32,True,any,N/A,icmp,ICMP-PING,4,any,"backup.user,network.admin,user1",affected,1,conflict,dd17187e-abab-44dc-850e-220fded6a058,Dev team connection to PLC network,464,earlier,"Rules 09fd90ac-667b-403d-80d1-327d846283dd (seq 13, 'deny') and dd17187e-abab-44dc-850e-220fded6a058 (seq 464, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering.",src_ip=192.168.100.102/32; dst_ip=172.16.10.251/32; src_port=any; dst_port=any; protocol=icmp,0.1522
paloalto,f21339b0-bbf6-41af-a64a-37fd62143388,Admin team access to LAN,14,True,allow,MGMT,LAN,N/A,N/A,any,False,any,False,"192.168.128.0/18,fd82:7b21:c59a:1:4de1:a123:37ed:aec4/128",True,8080,N/A,tcp,HTTP-ALT,both,any,any,clean,0,,,,,,,,
paloalto,26d7a812-9c1b-4e88-8af7-a79338ab397e,Restrict DMZ access to VPN,15,True,deny,DMZ,VPN,N/A,N/A,172.16.10.38/32,False,any,False,any,False,587,N/A,tcp,SMTP-TLS,4,any,any,clean,0,,,,,,,,
paloalto,668c2e93-0c5a-4ed4-9929-747273103dac,LAN reach MGMT,16,True,allow,VPN,MGMT,N/A,N/A,any,False,any,False,192.168.100.207/32,False,445,N/A,tcp,SMB,4,any,any,clean,0,,,,,,,,
paloalto,7ef3aa6f-c2bc-4ff9-b79b-95efe1a5f4c4,IoT devices access to internal network,17,True,allow,MGMT,WAN,N/A,N/A,any,False,any,False,157.150.155.75/32,False,1024-65535,N/A,tcp/udp,HIGH-PORTS,4,any,"backup.user,network.admin,user1",clean,0,,,,,,,,
paloalto,fd1af0df-c9b9-45ae-a49d-93fbd046a69d,MGMT outbound to DMZ,18,True,allow,MGMT,DMZ,N/A,N/A,192.168.100.48/28,False,any,False,any,False,587,N/A,tcp,SMTP-TLS,4,Video/Audio,any,clean,0,,,,,,,,
paloalto,f060369a-651c-4da3-b00c-49e9c36f8cc6,Admin team inbound from Portal,19,True,allow,DMZ,WAN,N/A,N/A,172.16.10.57/32,False,any,False,"any,160.226.32.45/32",False,22,N/A,tcp,SSH,4,any,backup.user,clean,0,,,,,,,,
paloalto,77d7335f-fd4a-4f2e-bd55-d46584bce2d7,Inspect Web servers traffic to Mail Server,20,True,allow,LAN,WAN,N/A,N/A,192.168.187.207/32,False,any,False,5.75.62.11/32,False,993,N/A,tcp,IMAP-SSL,4,any,"john.doe,manager,noc.operator",clean,0,,,,,,,,
paloalto,c0f0c30a-d023-406d-8a68-01e2cfd572c6,Internal users to Internet,21,True,allow,VPN,LAN,N/A,N/A,192.168.23.80/28,False,any,False,"any,192.168.117.249/32",False,389,N/A,tcp,LDAP,4,any,any,clean,0,,,,,,,,
paloalto,f3265235-6ba1-4f30-a33f-0ef53cfcd2a9,IoT devices to LAN,22,True,allow,DMZ,LAN,N/A,N/A,"172.16.10.240/28,172.16.10.128/25",False,any,False,"192.168.48.0/20,192.168.174.0/23",False,443,N/A,tcp,HTTPS,4,Proxy,any,clean,0,,,,,,,,
paloalto,2ed18427-097a-4413-91c9-e430ed9b6415,Guest network outbound to VPN,23,True,deny,MGMT,VPN,N/A,N/A,192.168.100.160/28,False,any,False,192.168.23.169-192.168.23.175,False,1521,N/A,tcp,Oracle,4,any,any,clean,0,,,,,,,,
paloalto,7f16daae-0072-4cb4-8b78-0d5f28d059e7,MGMT outbound to any,24,False,allow,MGMT,any,N/A,N/A,"192.168.100.208/28,192.168.100.146-192.168.100.150",False,any,False,188.25.236.108/32,False,any,N/A,icmp,ICMP-PING,4,any,any,clean,0,,,,,,,,
paloalto,7a65096d-db48-460d-8d03-6b94cfb64fd3,WAN reach PLC network,25,True,allow,WAN,DMZ,N/A,N/A,any,False,any,False,172.16.10.184/32,False,389,N/A,tcp,LDAP,4,P2P,any,clean,0,,,,,,,,
paloalto,05f79e6d-ab4d-48fb-aeaf-4c34e76bbefe,LAN to printer network except Production servers,26,True,allow,LAN,DMZ,N/A,N/A,"192.168.23.218-192.168.23.222,192.168.250.44/32",False,any,False,172.16.10.80/28,False,any,N/A,ip,IPSec-ESP,4,P2P,user3,clean,0,,,,,,,,
paloalto,ec0f8502-4781-469f-8326-2ed17727db45,DMZ outbound to MGMT,27,False,allow,DMZ,MGMT,N/A,N/A,172.16.10.148-172.16.10.151,True,any,False,192.168.100.113/32,False,80,N/A,tcp,WEB,4,Game,any,clean,0,,,,,,,,
paloalto,cfa15887-c8d7-4603-833c-0b2347201fd2,Inspect anyy traffic to MGMT,28,True,allow,any,MGMT,N/A,N/A,any,False,any,False,192.168.100.190/32,False,53,N/A,tcp/udp,DNS,4,any,ops.engineer,clean,0,,,,,,,,
paloalto,efaefb56-f1a5-4cb8-bca1-d5fdf734d65b,Publish VPN Gateway in Internet,29,False,deny,MGMT,any,N/A,N/A,fd82:7b21:c59a:99::/64,True,any,False,any,False,445,N/A,tcp,SMB,6,Proxy,sysadmin,clean,0,,,,,,,,
paloalto,8dc7c381-1058-473b-9f6c-651087383ca3,LAN to Firewall except HR system,30,False,allow,LAN,any,N/A,N/A,192.168.192.0/20,False,any,False,"217.214.230.242/32,105.116.131.30/32",False,3389,N/A,tcp,RDP,4,P2P,web.admin,clean,0,,,,,,,,
paloalto,5b854f48-894a-426c-8bd0-f12726d597ff,Publish any for WAN,31,True,allow,MGMT,any,N/A,N/A,192.168.100.171/32,False,any,False,134.236.149.26/32,False,27017,N/A,tcp,MongoDB,4,Proxy,jane.doe,clean,0,,,,,,,,
