vendor,rule_id,rule_name,seq,enabled,action,src_zone,dst_zone,src_iface,dst_iface,src_addr,src_addr_negated,src_port,src_port_negated,dst_addr,dst_addr_negated,dst_port,dst_port_negated,protocol,service,ip_version,app_id,user_id,anomaly_status,anomaly_count,anomaly_types,related_rule_ids,related_rule_names,related_seqs,related_roles,explanations,overlap_details,risk_scores
pfsense,1735331401,Admin team to Staging servers,1,True,allow,lan,N/A,lan,N/A,191.247.126.126/32,False,any,False,any,False,25,N/A,tcp,SMTP,4,N/A,N/A,affected,1,generalization,1719520568,DB servers to all servers,368,specific,"Rule 1719520568 (seq 368) is a near-universal permit-all rule that makes rule 1735331401 (seq 1) functionally redundant; however, rule 1735331401 encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the over-permissive rule 1719520568; do NOT remove rule 1735331401.",src_ip=191.247.126.126/32; dst_ip=any; src_port=any; dst_port=25; protocol=tcp,0.1177
pfsense,1736109002,Admin team access to VPN Gateway,2,False,allow,lan,N/A,lan,N/A,"192.168.145.175-192.168.145.183,192.168.224.0/19",False,any,False,192.168.23.136-192.168.23.150,False,53,N/A,udp,DNS,4,N/A,N/A,clean,0,,,,,,,,
pfsense,1744921803,Deny Guest netork from Test network,3,True,allow,lan,N/A,lan,N/A,any,False,any,False,192.168.100.192/27,False,3389,N/A,tcp,RDP,4,N/A,N/A,affected,2,generalization | generalization,1752006709 | 1719520568,any access to MGMT | DB servers to all servers,109 | 368,specific | specific,"Rule 1752006709 (seq 109) is a near-universal permit-all rule that makes rule 1744921803 (seq 3) functionally redundant; however, rule 1744921803 encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the over-permissive rule 1752006709; do NOT remove rule 1744921803. | Rule 1719520568 (seq 368) is a near-universal permit-all rule that makes rule 1744921803 (seq 3) functionally redundant; however, rule 1744921803 encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the over-permissive rule 1719520568; do NOT remove rule 1744921803.",src_ip=any; dst_ip=192.168.100.192/27; src_port=any; dst_port=3389; protocol=tcp | src_ip=any; dst_ip=192.168.100.192/27; src_port=any; dst_port=3389; protocol=tcp,0.0983 | 0.0983
pfsense,1734467404,Deny VPN users from MGMT,4,True,allow,lan,N/A,lan,N/A,any,False,any,False,fd82:7b21:c59a:99:99e9:f71:1a7e:ccc2,False,any,N/A,any,any,6,N/A,N/A,affected,1,over_permissive,N/A (single-rule),N/A (single-rule),N/A (single-rule),over_permissive,"Rule 1734467404 (seq 4) is an allow rule that is over-permissive (5b:any-dport∧any-proto), violating least-privilege.",,0.5225
pfsense,1722025805,DMZ connection to CCTV system,5,False,allow,dmz,N/A,dmz,N/A,fd82:7b21:c59a:10:fb94:4aad:2f7c:3ffc,True,any,False,fd82:7b21:c59a:99:a030:1223:d830:aab3,False,any,N/A,any,any,6,N/A,N/A,clean,0,,,,,,,,
pfsense,1714595406,VPN to Firewall,6,True,deny,vpn,N/A,vpn,N/A,192.168.23.176/28,False,any,False,172.16.10.116/32,False,6379,N/A,tcp,Redis,4,N/A,N/A,clean,0,,,,,,,,
pfsense,1756153807,MGMT connection to printer network,7,True,deny,mgmt,N/A,mgmt,N/A,192.168.100.193/32,False,any,False,192.168.23.54/32,False,161,N/A,udp,SNMP,4,N/A,N/A,affected,1,generalization,1760301219,Restrict WAN access to SAP servers,219,special,"Rule 1760301219 (seq 219) is more general than rule 1756153807 (seq 7) and makes it functionally redundant with the same action 'deny'; however, rule 1756153807 encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the broader rule 1760301219; do NOT remove the specific rule 1756153807.",src_ip=192.168.100.193/32; dst_ip=192.168.23.54/32; src_port=any; dst_port=161; protocol=udp,0.0878
pfsense,1755808208,Mail server access to Portal,8,False,deny,mgmt,N/A,mgmt,N/A,192.168.100.32/28,True,any,False,any,False,5432,N/A,tcp,PostgreSQL,4,N/A,N/A,clean,0,,,,,,,,
pfsense,1766608209,MGMT access from WAN,9,False,allow,wan,N/A,wan,N/A,any,False,any,False,192.168.100.133/32,True,25,N/A,tcp,SMTP,4,N/A,N/A,clean,0,,,,,,,,
pfsense,1764707410,Drop DMZ to MGMT,10,True,deny,dmz,N/A,dmz,N/A,172.16.10.12/32,False,any,False,any,False,443,N/A,tcp,HTTPS,4,N/A,N/A,affected,2,conflict | generalization,1765312349 | 1759178248,DMZ acces to MGMT | DMZ to all servers,149 | 448,earlier | special,"Rules 1764707410 (seq 10, 'deny') and 1765312349 (seq 149, 'allow') partially overlap with opposite actions and neither fully contains the other; the shared flows genuinely depend on ordering. | Rule 1759178248 (seq 448) is more general than rule 1764707410 (seq 10) and makes it functionally redundant with the same action 'deny'; however, rule 1764707410 encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the broader rule 1759178248; do NOT remove the specific rule 1764707410.",src_ip=172.16.10.12/32; dst_ip=192.168.100.192/26; src_port=any; dst_port=443; protocol=tcp | src_ip=172.16.10.12/32; dst_ip=any; src_port=any; dst_port=443; protocol=tcp,0.2686 | 0.0968
pfsense,1747600211,Allow Clients connect to cloud services,11,False,deny,lan,N/A,lan,N/A,fd82:7b21:c59a:1::/64,False,any,False,fd82:7b21:c59a:23::/64,False,443,N/A,tcp,HTTPS,6,N/A,N/A,clean,0,,,,,,,,
pfsense,1732566612,VPN users to ERP system,12,True,allow,wan,N/A,wan,N/A,any,False,any,False,192.168.100.112/28,False,8443,N/A,tcp,HTTPS_ALT,4,N/A,N/A,affected,1,generalization,1755894770,Block Dev team to WAN,170,special,"Rule 1755894770 (seq 170) is more general than rule 1732566612 (seq 12) and makes it functionally redundant with the same action 'allow'; however, rule 1732566612 encodes the intended least-privilege policy. RECOMMENDATION: restrict or remove the broader rule 1755894770; do NOT remove the specific rule 1732566612.",src_ip=any; dst_ip=192.168.100.112/28; src_port=any; dst_port=8443; protocol=tcp,0.1188
